Week,Measure,Value
2016-01-17,Bird Feeder,18
2016-01-24,Bird Feeder,14
2016-01-31,Bird Feeder,15
2016-02-07,Bird Feeder,16
2016-02-14,Bird Feeder,14
2016-02-21,Bird Feeder,16
2016-02-28,Bird Feeder,17
2016-03-06,Bird Feeder,20
2016-03-13,Bird Feeder,18
2016-03-20,Bird Feeder,21
2016-03-27,Bird Feeder,24
2016-04-03,Bird Feeder,24
2016-04-10,Bird Feeder,27
2016-04-17,Bird Feeder,29
2016-04-24,Bird Feeder,27
2016-05-01,Bird Feeder,24
2016-05-08,Bird Feeder,25
2016-05-15,Bird Feeder,33
2016-05-22,Bird Feeder,28
2016-05-29,Bird Feeder,30
2016-06-05,Bird Feeder,24
2016-06-12,Bird Feeder,27
2016-06-19,Bird Feeder,24
2016-06-26,Bird Feeder,21
2016-07-03,Bird Feeder,27
2016-07-10,Bird Feeder,21
2016-07-17,Bird Feeder,18
2016-07-24,Bird Feeder,16
2016-07-31,Bird Feeder,18
2016-08-07,Bird Feeder,16
2016-08-14,Bird Feeder,19
2016-08-21,Bird Feeder,15
2016-08-28,Bird Feeder,14
2016-09-04,Bird Feeder,13
2016-09-11,Bird Feeder,15
2016-09-18,Bird Feeder,14
2016-09-25,Bird Feeder,13
2016-10-02,Bird Feeder,14
2016-10-09,Bird Feeder,13
2016-10-16,Bird Feeder,12
2016-10-23,Bird Feeder,15
2016-10-30,Bird Feeder,15
2016-11-06,Bird Feeder,16
2016-11-13,Bird Feeder,18
2016-11-20,Bird Feeder,17
2016-11-27,Bird Feeder,25
2016-12-04,Bird Feeder,24
2016-12-11,Bird Feeder,24
2016-12-18,Bird Feeder,28
2016-12-25,Bird Feeder,24
2017-01-01,Bird Feeder,22
2017-01-08,Bird Feeder,18
2017-01-15,Bird Feeder,17
2017-01-22,Bird Feeder,16
2017-01-29,Bird Feeder,20
2017-02-05,Bird Feeder,18
2017-02-12,Bird Feeder,17
2017-02-19,Bird Feeder,21
2017-02-26,Bird Feeder,17
2017-03-05,Bird Feeder,21
2017-03-12,Bird Feeder,22
2017-03-19,Bird Feeder,22
2017-03-26,Bird Feeder,25
2017-04-02,Bird Feeder,22
2017-04-09,Bird Feeder,31
2017-04-16,Bird Feeder,29
2017-04-23,Bird Feeder,32
2017-04-30,Bird Feeder,32
