iso,country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
abw,Aruba,,,,,,,,,,,,6.078,6.428,6.022,5.058,5.983,7.169,6.126,3.25,4.793,6.923,6.489,8.131,11.4,9.5,8.8,9.3,5.71,6.9,10.3,10.6,8.879,9.607,7.599,7.451,7.298,7.694,8.923,7.283,5.2,8.6,8.8,7.774,7.672,7.639,7.64,7.67,7.656
alb,Albania,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15.0,14.4,14.1,13.8,13.4,13.1,13.8,14.0,14.0,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.47,11.675,10.6,10.3,10.0,10.0,10.0,10.0,10.0
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.225,3.975,6.175,6.325,5.8,3.575,3.025,1.725,1.525,1.775,2.85,2.875,2.0,1.8,1.675,1.675,1.675,1.675
arg,Argentina,3.0,5.0,4.5,5.0,5.0,6.25,6.3,6.0,6.5,8.0,7.6,6.48,7.112,11.606,13.348,18.904,18.76,16.808,14.789,16.061,17.134,19.209,22.45,17.25,13.625,11.575,10.175,8.475,7.875,8.675,7.75,7.15,7.2,7.075,7.25,6.533,8.467,8.35,9.2,9.825,11.55,8.725,6.9,6.9,6.9,6.9,6.9,6.9
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,38.4,35.3,31.2,31.6,31.2,27.8,28.7,16.4,18.7,19.0,18.4,17.3,16.2,17.6,18.5,18.0,17.8,19.0,18.3,18.1,15.3,15.2,15.1,14.9,14.8,14.7,14.6
aus,Australia,6.133,5.783,7.183,9.967,8.967,8.258,8.117,8.108,7.2,6.133,6.942,9.617,10.742,10.883,9.717,8.483,8.525,8.367,7.692,6.867,6.292,6.775,6.367,5.942,5.392,5.042,4.792,4.375,4.258,5.575,5.208,5.083,5.233,5.658,6.058,6.058,5.708,5.6,5.292,5.167,6.483,5.092,3.644,3.727,4.248,4.505,4.657,4.773
aut,Austria,1.6,2.2,3.1,3.7,3.8,3.6,3.1,3.8,2.676,2.348,2.723,3.151,3.29,3.958,3.85,4.242,4.717,4.758,4.708,4.142,3.883,4.008,4.392,4.792,5.875,6.033,5.6,5.217,4.425,5.683,5.175,4.892,5.242,5.35,6.042,6.158,6.45,5.925,5.233,4.817,5.4,6.167,4.467,4.6,4.5,4.3,4.3,4.3
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,11.777,10.913,10.037,9.167,7.987,7.256,6.615,6.326,5.856,5.742,5.631,5.424,5.185,4.973,4.913,4.958,5.043,4.961,4.944,4.848,7.157,5.952,5.886,5.82,5.755,5.691,5.627,5.564
bel,Belgium,8.3,10.0,11.5,10.742,10.825,10.117,10.05,9.808,8.833,7.367,6.558,6.45,7.092,8.625,9.75,9.683,9.55,9.217,9.342,8.425,6.858,6.567,7.525,8.175,8.383,8.475,8.267,7.492,6.967,7.992,8.383,7.208,7.65,8.55,8.658,8.658,7.925,7.167,6.042,5.458,5.75,6.267,5.446,5.633,5.633,5.571,5.517,5.468
bgr,Bulgaria,,,,,,,,,,0.025,2.9,6.78,13.24,15.84,14.05,11.37,10.988,14.023,12.367,13.79,18.134,17.514,17.416,13.857,12.192,10.177,9.022,6.935,5.664,6.878,10.306,11.35,12.379,13.038,11.524,9.233,7.666,6.23,5.273,4.275,5.207,5.346,5.13,4.7,4.4,4.2,4.2,4.2
bhr,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.7,4.0,3.6,4.0,3.7,4.4,3.8,3.4,3.7,3.58,3.885,4.7,5.9,6.6,5.548,4.403,3.951,3.951,3.951,3.951
bhs,The Bahamas,,,,,,,12.2,11.5,11.0,11.7,12.0,12.3,14.8,13.1,13.292,10.9,11.505,9.779,7.743,7.796,7.0,6.9,9.102,10.835,10.202,10.17,7.628,7.853,8.703,14.246,15.082,15.889,14.367,15.782,14.636,13.379,12.15,10.1,10.35,10.1,25.55,18.145,13.878,12.74,12.306,11.87,11.607,11.431
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,,,70.0,50.0,32.296,29.334,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,29.0,23.4,24.1,27.2,27.6,28.0,27.5,27.5,27.7,25.4,20.5,18.4,15.7,15.9,17.4,17.3,17.2,17.165,17.125,17.135,17.145
blr,Belarus,,,,,,,,,,,,,,6.281,6.947,7.703,8.774,7.6,7.174,6.947,6.961,7.096,7.471,7.931,7.347,6.57,6.295,5.962,5.844,5.808,5.738,5.588,5.536,5.436,5.417,5.821,5.92,5.684,4.825,4.191,4.082,3.925,4.5,4.307,3.9,3.803,3.754,3.754
blz,Belize,,,,,,,,,,,15.0,14.0,12.0,10.0,9.0,12.5,13.8,12.7,14.3,12.8,11.4,11.4,10.0,12.9,11.6,11.0,9.4,10.3,8.2,12.827,18.515,16.726,15.275,12.926,11.6,10.143,9.541,9.328,9.377,9.041,13.743,10.188,8.488,8.012,7.902,7.791,7.68,7.57
bol,Bolivia,,,,,,,,,,,,,,,,,,,,,7.462,8.498,8.69,8.708,8.427,8.146,7.992,7.668,4.43,4.913,4.375,3.837,3.229,4.0,4.0,4.0,4.67,5.08,4.88,5.16,8.47,7.0,4.5,4.0,4.0,4.0,4.0,4.0
bra,Brazil,,,,,,,,,,,,10.1,11.6,11.0,10.5,9.9,11.2,11.6,14.7,14.7,13.9,12.5,13.0,13.7,12.9,11.4,11.5,10.9,9.4,9.7,8.5,7.8,7.4,7.225,6.9,8.625,11.65,12.85,12.375,11.975,13.775,13.2,9.771,9.457,9.477,9.497,9.493,9.49
brb,Barbados,,10.76,13.65,14.945,17.037,18.631,17.735,17.934,17.137,15.244,14.945,17.236,22.915,24.41,21.75,19.625,15.75,14.55,12.15,10.35,9.35,9.85,10.3,11.0,9.575,9.075,8.725,7.425,8.125,9.975,10.25,11.15,11.5,11.625,12.275,11.3,9.65,9.95,10.05,10.088,21.279,14.127,10.846,10.03,9.941,9.879,9.813,9.493
brn,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,8.5,7.7,6.9,7.7,8.5,9.3,8.7,6.822,6.822,6.822,6.822,6.822,6.822,6.822,6.822,6.822
btn,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.5,3.1,3.2,3.7,3.85,4.0,3.3,3.1,2.1,2.9,2.6,2.5,2.1,3.138,3.4,2.3,5.0,4.8,,,,,,
can,Canada,7.517,7.617,11.1,12.0,11.375,10.508,9.608,8.8,7.775,7.508,8.15,10.317,11.217,11.375,10.392,9.467,9.608,9.092,8.292,7.567,6.833,7.225,7.667,7.583,7.15,6.767,6.325,6.075,6.2,8.375,8.075,7.55,7.375,7.133,6.967,6.942,7.05,6.383,5.908,5.75,9.583,7.433,5.291,5.856,6.242,6.099,5.998,5.999
che,Switzerland,0.209,0.19,0.428,0.85,1.138,0.982,0.832,0.798,0.72,0.564,0.501,1.083,2.549,4.504,4.723,4.233,4.656,5.199,3.856,2.723,1.824,1.703,2.546,3.691,3.879,3.763,3.332,2.766,2.577,3.701,3.516,2.843,2.905,3.158,3.044,3.178,3.323,3.088,2.547,2.306,3.17,2.993,2.23,2.35,2.5,2.5,2.5,2.5
chl,Chile,11.502,10.291,19.814,20.999,17.515,14.975,12.299,10.984,9.875,7.98,7.75,8.217,6.7,6.5,7.808,7.375,6.5,6.108,6.217,10.008,9.708,9.867,9.8,9.533,10.017,9.3,7.95,7.008,7.75,11.053,8.305,7.3,6.595,6.082,6.495,6.328,6.685,6.965,7.377,7.223,10.77,8.862,7.852,8.349,8.15,7.758,7.404,7.229
